Geocodigo,Nome,UF,Lat,Lon
3531209,MONTE ALEGRE DO SUL,SP,-22.6824,-46.6812
3531308,MONTE ALTO,SP,-21.2616,-48.4968
3531407,MONTE APRAZÍVEL,SP,-20.773,-49.7146
3531506,MONTE AZUL PAULISTA,SP,-20.9077,-48.6418
3531605,MONTE CASTELO,SP,-21.2999,-51.569
3531803,MONTE MOR,SP,-22.9471,-47.3162
3531704,MONTEIRO LOBATO,SP,-22.9571,-45.8401
3531902,MORRO AGUDO,SP,-20.7319,-48.0582
3532009,MORUNGABA,SP,-22.8805,-46.7921
3532058,MOTUCA,SP,-21.5085,-48.1515
3532108,MURUTINGA DO SUL,SP,-20.9938,-51.2779
3532157,NANTES,SP,-22.621,-51.2374
3532207,NARANDIBA,SP,-22.4077,-51.5249
3532306,NATIVIDADE DA SERRA,SP,-23.376,-45.4423
3532405,NAZARÉ PAULISTA,SP,-23.1816,-46.3954
3532504,NEVES PAULISTA,SP,-20.8466,-49.6301
3532603,NHANDEARA,SP,-20.6946,-50.0387
3532702,NIPOÃ,SP,-20.9138,-49.7782
3532801,NOVA ALIANÇA,SP,-21.0163,-49.4965
3532827,NOVA CAMPINA,SP,-24.1213,-48.904
3532843,NOVA CANAÃ PAULISTA,SP,-20.3863,-50.9496
3532868,NOVA CASTILHO,SP,-20.7635,-50.3435
3532900,NOVA EUROPA,SP,-21.7788,-48.5612
3533007,NOVA GRANADA,SP,-20.5344,-49.3146
3533106,NOVA GUATAPORANGA,SP,-21.3349,-51.6443
3533205,NOVA INDEPENDÊNCIA,SP,-21.1043,-51.4904
3533304,NOVA LUZITÂNIA,SP,-20.8566,-50.2621
3533403,NOVA ODESSA,SP,-22.778,-47.2962
3533254,NOVAIS,SP,-20.9927,-48.919
3533502,NOVO HORIZONTE,SP,-21.4685,-49.2212
3533601,NUPORANGA,SP,-20.7313,-47.731
3533700,OCAUÇU,SP,-22.4394,-49.9232
3533809,ÓLEO,SP,-22.9419,-49.3424
